Date;Price;Open;High;Low;Vol.;Change %
11.01.2017;2077.36;2036.79;2079.4;2016.64;;1.99%
10.01.2017;2036.8;2000.19;2038.4;1997.5;;1.81%
09.01.2017;2000.55;1961.94;2000.59;1948.21;;2.08%
08.01.2017;1959.74;1962.13;1974.82;1925.16;;-0.07%
07.01.2017;1961.1;1917.5;1971.25;1905.25;;2.33%
06.01.2017;1916.43;1910.96;1938.69;1908.09;;0.25%
05.01.2017;1911.74;1878.91;1916.21;1873.03;;1.78%
04.01.2017;1878.28;1853.55;1887.94;1831.31;;1.33%
03.01.2017;1853.69;1834.55;1868.84;1831.83;;0.82%
02.01.2017;1838.7;1791.85;1848.56;1789.9;;2.58%
01.01.2017;1792.4;1749.61;1810.75;1747.94;;2.35%
12.01.2016;1751.22;1711.76;1776.35;1704.72;;2.29%
11.01.2016;1712.09;1691.6;1725.28;1657.06;;1.25%
10.01.2016;1690.92;1724.79;1728.44;1678.36;;-2.01%
09.01.2016;1725.67;1720.45;1750.06;1688.81;;0.36%
08.01.2016;1719.52;1719.86;1742.5;1696.79;;-0.13%
07.01.2016;1721.79;1653.07;1723.25;1625.74;;4.15%
06.01.2016;1653.23;1673.28;1700.75;1566.7;;-1.28%
05.01.2016;1674.61;1670.78;1681.74;1620.6;;0.23%
04.01.2016;1670.8;1646.88;1698.15;1616.76;;1.38%
03.01.2016;1648.12;1548.03;1657.84;1546.59;;6.52%
02.01.2016;1547.17;1562.73;1570.93;1459.79;;-0.96%
01.01.2016;1562.18;1663.05;1663.16;1468.36;;-6.05%
12.01.2015;1662.79;1694.52;1712.41;1619.67;;-1.87%
11.01.2015;1694.4;1705.7;1723.81;1649.47;;-0.67%
10.01.2015;1705.8;1582.12;1714.13;1573.27;;7.83%
09.01.2015;1581.92;1645.82;1672.38;1545.51;;-3.86%
08.01.2015;1645.43;1762.49;1769.99;1571.07;;-6.81%
07.01.2015;1765.6;1735.42;1783.61;1701.58;;1.73%
06.01.2015;1735.61;1778.43;1799.45;1732.65;;-2.46%
05.01.2015;1779.31;1778.71;1813.9;1761.37;;0.05%
04.01.2015;1778.4;1740.31;1809.33;1730.61;;2.16%
03.01.2015;1740.81;1771.04;1783.37;1708.72;;-1.81%
02.01.2015;1772.86;1678.78;1780.31;1671.69;;5.68%
01.01.2015;1677.54;1709.22;1717.91;1649.83;;-1.88%
12.01.2014;1709.67;1737.97;1742.19;1647.48;;-1.71%
11.01.2014;1739.5;1706.17;1748;1691.79;;1.84%
10.01.2014;1708.09;1698.35;1708.29;1571.81;;0.57%
09.01.2014;1698.41;1746.98;1757.31;1693.69;;-2.87%
08.01.2014;1748.67;1713.63;1751.57;1675.51;;2.00%
07.01.2014;1714.33;1743.7;1765.77;1714.33;;-1.67%
06.01.2014;1743.42;1715.37;1749.97;1711.47;;1.65%
05.01.2014;1715.18;1688.32;1715.18;1673.07;;1.63%
04.01.2014;1687.74;1673.25;1692.85;1631.22;;0.83%
03.01.2014;1673.87;1675.23;1690.03;1638.4;;-0.09%
02.01.2014;1675.4;1598.53;1679.93;1560.35;;4.81%
01.01.2014;1598.46;1659.56;1664.23;1588.65;;-3.77%
12.01.2013;1661.07;1627.21;1661.07;1585.57;;2.01%
11.01.2013;1628.42;1601.95;1633.38;1581.99;;1.59%
10.01.2013;1602.86;1542.56;1618.93;1513.62;;3.83%
09.01.2013;1543.67;1473.69;1579.02;1473.43;;4.82%
08.01.2013;1472.74;1509.71;1535.15;1471.27;;-2.33%
07.01.2013;1507.91;1435.06;1525.27;1433.15;;5.19%
06.01.2013;1433.55;1472.5;1487.97;1393.93;;-2.61%
05.01.2013;1471.93;1475.48;1533.35;1459.88;;-0.29%
04.01.2013;1476.14;1432.95;1476.14;1409.3;;2.90%
03.01.2013;1434.51;1403.52;1445.8;1390.99;;2.09%
02.01.2013;1405.18;1405.27;1423.96;1380.15;;-0.02%
01.01.2013;1405.47;1339.39;1413.54;1338.46;;5.00%
12.01.2012;1338.5;1315.29;1355.34;1308.78;;1.75%
11.01.2012;1315.49;1301.78;1317.79;1244.45;;1.07%
10.01.2012;1301.52;1309.3;1343.48;1295.57;;-0.76%
09.01.2012;1311.5;1278.2;1353.69;1269.24;;2.52%
08.01.2012;1279.21;1249.1;1300.8;1229.15;;2.29%
07.01.2012;1250.57;1236.1;1257.64;1197.18;;1.20%
06.01.2012;1235.72;1176.7;1235.72;1144.16;;4.93%
05.01.2012;1177.64;1293.57;1302.1;1168.83;;-8.99%
04.01.2012;1293.99;1313.81;1326.96;1257.13;;-1.37%
03.01.2012;1312.01;1296.16;1331.55;1263.12;;1.02%
02.01.2012;1298.72;1240.69;1311.23;1238.69;;4.66%
01.01.2012;1240.89;1181.36;1259.4;1181.28;;4.93%
12.01.2011;1182.59;1183.85;1206.41;1132.62;;-0.17%
11.01.2011;1184.6;1213.83;1221.28;1093.72;;-2.69%
10.01.2011;1217.3;1102.53;1257.55;1042.3;;10.26%
09.01.2011;1104.06;1210.79;1218.73;1079.62;;-8.85%
08.01.2011;1211.22;1305.92;1319.43;1113.16;;-7.26%
07.01.2011;1306.05;1330.56;1354.49;1292.26;;-1.89%
06.01.2011;1331.18;1355.61;1357.02;1267.55;;-1.73%
05.01.2011;1354.61;1389.76;1397.57;1310.1;;-2.45%
04.01.2011;1388.62;1333.68;1390.18;1309.06;;4.02%
03.01.2011;1334.93;1352.22;1357.81;1251.34;;-1.24%
02.01.2011;1351.65;1307.43;1365.07;1307.39;;3.33%
01.01.2011;1308.08;1277.2;1323.94;1269.52;;2.19%
12.01.2010;1280.07;1192.93;1283.68;1192.35;;7.25%
11.01.2010;1193.56;1224.35;1269.14;1188.19;;-2.35%
10.01.2010;1222.23;1177.54;1238.02;1172.38;;3.65%
09.01.2010;1179.19;1079.98;1192.71;1079.56;;9.11%
08.01.2010;1080.7;1126.1;1159.01;1064.05;;-3.92%
07.01.2010;1124.83;1039.81;1140.61;1026.19;;8.02%
06.01.2010;1041.32;1079.94;1131.35;1032.14;;-3.56%
05.01.2010;1079.8;1197.89;1205.08;1027.59;;-9.91%
04.01.2010;1198.56;1199.87;1244.12;1186.68;;-0.16%
03.01.2010;1200.53;1132.7;1206.34;1130.44;;5.93%
02.01.2010;1133.35;1118.26;1149.92;1081.5;;1.23%
